"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/24/2023","AQS","481130050","3","6.3","ug/m3 LC","35","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/25/2023","AQS","481130050","3","7.5","ug/m3 LC","42","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/26/2023","AQS","481130050","3","8.3","ug/m3 LC","46","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/27/2023","AQS","481130050","3","8.4","ug/m3 LC","47","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/28/2023","AQS","481130050","3","9","ug/m3 LC","50","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/29/2023","AQS","481130050","3","8.9","ug/m3 LC","49","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/30/2023","AQS","481130050","3","5.8","ug/m3 LC","32","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"01/31/2023","AQS","481130050","3","7.3","ug/m3 LC","41","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/01/2023","AQS","481130050","3","8.8","ug/m3 LC","49","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/02/2023","AQS","481130050","3","12.3","ug/m3 LC","57","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/03/2023","AQS","481130050","3","20","ug/m3 LC","71","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/04/2023","AQS","481130050","3","17.7","ug/m3 LC","67","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/05/2023","AQS","481130050","3","11.3","ug/m3 LC","55","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/06/2023","AQS","481130050","3","6.7","ug/m3 LC","37","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/07/2023","AQS","481130050","3","6.2","ug/m3 LC","34","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/08/2023","AQS","481130050","3","2.9","ug/m3 LC","16","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/09/2023","AQS","481130050","3","8.2","ug/m3 LC","46","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/10/2023","AQS","481130050","3","4.9","ug/m3 LC","27","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/11/2023","AQS","481130050","3","9","ug/m3 LC","50","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/12/2023","AQS","481130050","3","17.4","ug/m3 LC","66","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/13/2023","AQS","481130050","3","9.3","ug/m3 LC","51","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/14/2023","AQS","481130050","3","4.5","ug/m3 LC","25","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/15/2023","AQS","481130050","3","11.8","ug/m3 LC","56","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/16/2023","AQS","481130050","3","3.9","ug/m3 LC","22","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/17/2023","AQS","481130050","3","4.6","ug/m3 LC","26","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/18/2023","AQS","481130050","3","9.6","ug/m3 LC","52","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/19/2023","AQS","481130050","3","7.5","ug/m3 LC","42","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/20/2023","AQS","481130050","3","7.2","ug/m3 LC","40","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/21/2023","AQS","481130050","3","8.3","ug/m3 LC","46","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/22/2023","AQS","481130050","3","7.1","ug/m3 LC","39","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/23/2023","AQS","481130050","3","6.2","ug/m3 LC","34","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/24/2023","AQS","481130050","3","6.2","ug/m3 LC","34","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
